央视,#genre#
CCTV4,http://221.218.14.126:8000/rtp/239.3.1.214:4220
CETV1,http://221.218.14.126:8000/rtp/239.3.1.57:8152
CETV2,http://221.218.14.126:8000/rtp/239.3.1.54:4120
CETV3,http://221.218.14.126:8000/rtp/239.3.1.55:4120
CETV4,http://221.218.14.126:8000/rtp/239.3.1.56:4120
CCTV1,http://171.217.59.97:8888/udp/239.93.0.184:5140
CCTV2,http://171.217.59.97:8888/udp/239.93.1.23:6000
CCTV3,http://171.217.59.97:8888/udp/239.93.1.11:2223
CCTV4,http://171.217.59.97:8888/udp/239.93.1.105:5140
CCTV5,http://171.217.59.97:8888/udp/239.93.42.37:5140
CCTV6,http://171.217.59.97:8888/udp/239.93.1.13:2226
CCTV7,http://171.217.59.97:8888/udp/239.93.1.67:5140
CCTV8,http://171.217.59.97:8888/udp/239.93.42.39:5140
CCTV9,http://171.217.59.97:8888/udp/239.93.1.24:5140
CCTV10,http://171.217.59.97:8888/udp/239.93.1.28:5140
CCTV11,http://171.217.59.97:8888/udp/239.93.0.102:5140
CCTV12,http://171.217.59.97:8888/udp/239.93.1.30:8124
CCTV13,http://171.217.59.97:8888/udp/239.93.0.66:5140
CCTV少儿,http://171.217.59.97:8888/udp/239.93.1.29:6000
CCTV15,http://171.217.59.97:8888/udp/239.93.0.103:5140
CCTV17,http://171.217.59.97:8888/udp/239.93.0.92:5140
CCTV5,http://171.217.59.97:8888/udp/239.93.1.36:8004
CETV1,http://171.217.59.97:8888/udp/239.93.1.111:5140
CETV2,http://171.217.59.97:8888/udp/239.93.0.113:5140
CETV4,http://171.217.59.97:8888/udp/239.93.0.50:5140
CCTV1,http://171.217.59.97:8888/udp/239.93.0.148:5140
CCTV2,http://171.217.59.97:8888/udp/239.93.0.149:5140
CCTV3,http://171.217.59.97:8888/udp/239.93.0.150:5140
CCTV4,http://171.217.59.97:8888/udp/239.93.0.212:5140
CCTV5,http://171.217.59.97:8888/udp/239.93.0.158:5140
CCTV6,http://171.217.59.97:8888/udp/239.93.0.64:5140
CCTV7,http://171.217.59.97:8888/udp/239.93.0.79:5140
CCTV8,http://171.217.59.97:8888/udp/239.93.0.154:5140
CCTV9,http://171.217.59.97:8888/udp/239.93.1.64:5140
CCTV10,http://171.217.59.97:8888/udp/239.93.1.63:5140
CCTV11,http://171.217.59.97:8888/udp/239.93.0.170:5140
CCTV12,http://171.217.59.97:8888/udp/239.93.1.41:5140
CCTV新闻,http://171.217.59.97:8888/udp/239.93.0.187:5140
CCTV少儿画中,http://171.217.59.97:8888/udp/239.93.1.40:5140
CCTV音乐,http://171.217.59.97:8888/udp/239.93.0.171:5140
CCTV1,http://171.217.59.97:8888/udp/239.93.1.68:5140
CCTV1,http://171.217.59.97:8888/udp/239.93.1.87:5140
CCTV5,http://171.217.59.97:8888/udp/239.93.1.79:5140
CCTV2,http://171.217.59.97:8888/udp/239.93.1.69:5140
CCTV7,http://171.217.59.97:8888/udp/239.93.1.73:5140
CCTV8,http://171.217.59.97:8888/udp/239.93.1.74:5140
CCTV3,http://171.217.59.97:8888/udp/239.93.1.70:5140
CCTV5,http://171.217.59.97:8888/udp/239.93.1.71:5140
CCTV6,http://171.217.59.97:8888/udp/239.93.1.72:5140
CCTV9,http://171.217.59.97:8888/udp/239.93.1.75:5140
CCTV1,http://175.9.142.192:8888/udp/239.76.245.51:1234
CCTV1,http://175.9.142.192:8888/udp/239.76.246.151:1234
CCTV2,http://175.9.142.192:8888/udp/239.76.246.152:1234
CCTV3,http://175.9.142.192:8888/udp/239.76.246.153:1234
CCTV4,http://175.9.142.192:8888/udp/239.76.245.195:1234
CCTV4,http://175.9.142.192:8888/udp/239.76.246.154:1234
CCTV5,http://175.9.142.192:8888/udp/239.76.246.155:1234
CCTV5+,http://175.9.142.192:8888/udp/239.76.246.168:1234
CCTV6,http://175.9.142.192:8888/udp/239.76.246.156:1234
CCTV7,http://175.9.142.192:8888/udp/239.76.246.157:1234
CCTV8,http://175.9.142.192:8888/udp/239.76.246.158:1234
CCTV9,http://175.9.142.192:8888/udp/239.76.246.159:1234
CCTV10,http://175.9.142.192:8888/udp/239.76.246.160:1234
